id,prediction
0,B C E
1,B E C
2,C B E
3,B D E
4,B E D
5,B E D
6,B E D
7,B D C
8,D B C
9,B D E
10,B E C
11,B D C
12,B E D
13,B C D
14,B D E
15,B E D
16,B D C
17,B C D
18,B C D
19,B E C
20,B D E
21,B D E
22,B C E
23,B E C
24,B D C
25,B C D
26,B D E
27,B C D
28,B D E
29,B D C
30,B E C
31,B D E
32,B D E
33,B D C
34,B E C
35,B D E
36,B C E
37,B E D
38,B C E
39,B E C
40,B E D
41,B D E
42,B C D
43,D B E
44,B E D
45,B C A
46,B C A
47,B E D
48,B C D
49,B E D
50,B D C
51,D B C
52,B C D
53,B C E
54,B C D
55,B D C
56,B E C
57,B D C
58,B E D
59,B C D
60,B D E
61,B D C
62,B E D
63,B C E
64,B E D
65,D B C
66,B C E
67,B C D
68,B E C
69,B C A
70,B C D
71,B E D
72,B E C
73,B D E
74,B E D
75,B D C
76,B E D
77,B D E
78,B C D
79,B E C
80,B D E
81,D B E
82,B D E
83,B D E
84,B E C
85,B E D
86,B E D
87,B D E
88,B C E
89,B D E
90,B C A
91,B E C
92,B C D
93,B E D
94,B E C
95,B D E
96,C B D
97,B C E
98,B E D
99,B D C
100,B E D
101,B E D
102,B D E
103,B D E
104,B C A
105,C B D
106,B D E
107,B C D
108,B D E
109,B E D
110,B C E
111,B C D
112,D B E
113,B E D
114,B C E
115,B C A
116,B D E
117,B C A
118,B D E
119,B E D
120,B C D
121,D B C
122,B C E
123,B C D
124,B E D
125,B E D
126,B C D
127,B D E
128,B E D
129,B D E
130,B D E
131,B C D
132,B E D
133,B C E
134,B C E
135,B E D
136,B D C
137,B D E
138,B C D
139,B E D
140,B D E
141,B D C
142,B C D
143,B D E
144,E B C
145,B C E
146,B D C
147,B E D
148,B C E
149,B D E
150,B D E
151,B E D
152,B D E
153,B D C
154,B E D
155,B D E
156,B C D
157,B E D
158,B C D
159,B E D
160,B C A
161,B C D
162,B E D
163,B D E
164,B C D
165,B C E
166,B C D
167,B E D
168,B C D
169,B D E
170,B E D
171,B C D
172,B E D
173,B C E
174,B E D
175,B E D
176,B E D
177,B E C
178,B E D
179,B E D
180,B D E
181,B D E
182,B D C
183,B D E
184,B D E
185,B C D
186,B C D
187,B D E
188,B D E
189,B E D
190,B D E
191,B E D
192,B C D
193,B D E
194,B C E
195,B C E
196,B C D
197,B D E
198,B E D
199,B E D
